"Geographic name, english","Geographic name, french","CSD type, english","CSD type, french","Province / territory, english","Province / territory, french"
Portugal Cove South,Portugal Cove South,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Trepassey,Trepassey,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Shott's,St. Shott's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Cape Broyle,Cape Broyle,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Renews-Cappahayden,Renews-Cappahayden,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Fermeuse,Fermeuse,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Port Kirwan,Port Kirwan,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Aquaforte,Aquaforte,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Ferryland,Ferryland,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Vincent's-St. Stephen's-Peter's River,St. Vincent's-St. Stephen's-Peter's River,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Gaskiers-Point La Haye,Gaskiers-Point La Haye,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Mary's,St. Mary's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Riverhead,Riverhead,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Admirals Beach,Admirals Beach,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Joseph's,St. Joseph's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Mount Carmel-Mitchells Brook-St. Catherine's,Mount Carmel-Mitchells Brook-St. Catherine's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Colinet,Colinet,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Branch,Branch,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Point Lance,Point Lance,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Bride's,St. Bride's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Placentia,Placentia,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Fox Harbour,Fox Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Long Harbour-Mount Arlington Heights,Long Harbour-Mount Arlington Heights,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Southern Harbour,Southern Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Arnold's Cove,Arnold's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Come By Chance,Come By Chance,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Sunnyside,Sunnyside,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Chance Cove,Chance Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Norman's Cove-Long Cove,Norman's Cove-Long Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Chapel Arm,Chapel Arm,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Whitbourne,Whitbourne,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Whiteway,Whiteway,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Heart's Delight-Islington,Heart's Delight-Islington,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Heart's Desire,Heart's Desire,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Heart's Content,Heart's Content,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
New Perlican,New Perlican,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Winterton,Winterton,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Hant's Harbour,Hant's Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Old Perlican,Old Perlican,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bay de Verde,Bay de Verde,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Small Point-Adam's Cove-Blackhead-Broad Cove,Small Point-Adam's Cove-Blackhead-Broad Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Salmon Cove,Salmon Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Victoria,Victoria,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Carbonear,Carbonear,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bryant's Cove,Bryant's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Harbour Grace,Harbour Grace,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Upper Island Cove,Upper Island Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bishop's Cove,Bishop's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Spaniard's Bay,Spaniard's Bay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bay Roberts,Bay Roberts,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
North River,North River,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Clarke's Beach,Clarke's Beach,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
South River,South River,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Cupids,Cupids,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Brigus,Brigus,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Colliers,Colliers,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Conception Harbour,Conception Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Avondale,Avondale,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Harbour Main-Chapel's Cove-Lakeview,Harbour Main-Chapel's Cove-Lakeview,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Holyrood,Holyrood,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Conception Bay South,Conception Bay South,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Wabana,Wabana,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Portugal Cove-St. Philip's,Portugal Cove-St. Philip's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Pouch Cove,Pouch Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Flatrock,Flatrock,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Torbay,Torbay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Logy Bay-Middle Cove-Outer Cove,Logy Bay-Middle Cove-Outer Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
