Country,Province Code,Region,City/ Town
Canada,AB,Acadia,Acadis Valley
Canada,AB,Acadia,Al tario
Canada,AB,Acadia,Big Stone
Canada,AB,Acadia,Bindloss
Canada,AB,Acadia,Buffalo
Canada,AB,Acadia,Cereal
Canada,AB,Acadia,Cessford Chinook
Canada,AB,Acadia,Compeer
Canada,AB,Acadia,Consort
Canada,AB,Acadia,Empress
Canada,AB,Acadia,Esther
Canada,AB,Acadia,Finnegan
Canada,AB,Acadia,Hanna
Canada,AB,Acadia,Jennen
Canada,AB,Acadia,Kirriemuir
Canada,AB,Acadia,Monitor
Canada,AB,Acadia,New Brigden
Canada,AB,Acadia,Oyen
Canada,AB,Acadia,Pollockville
Canada,AB,Acadia,Sedalia Sibbald
Canada,AB,Acadia,Sunnynook
Canada,AB,Acadia,Veteran
Canada,AB,Acadia,Wardlow
Canada,AB,Acadia,Youngstown
Canada,AB,Airdrie,Crossfield
Canada,AB,Athabasca,
Canada,AB,Athabasca,Abee
Canada,AB,Athabasca,Alberta Beach
Canada,AB,Athabasca,Atmore
Canada,AB,Athabasca,Barrhead
Canada,AB,Athabasca,Boyle
Canada,AB,Athabasca,Breynat
Canada,AB,Athabasca,Busby
Canada,AB,Athabasca,Casian
Canada,AB,Athabasca,Clyde
Canada,AB,Athabasca,Colinton Darwell
Canada,AB,Athabasca,Ellscott
Canada,AB,Athabasca,Fawcett
Canada,AB,Athabasca,Fort Assiniboine
Canada,AB,Athabasca,Glenevis
Canada,AB,Athabasca,Grassland
Canada,AB,Athabasca,Island Lake
Canada,AB,Athabasca,Island Lake South
Canada,AB,Athabasca,Jarvie
Canada,AB,Athabasca,Mayerthorpe
Canada,AB,Athabasca,Neerlandia Newbrook
Canada,AB,Athabasca,Onoway
Canada,AB,Athabasca,Perryvale
Canada,AB,Athabasca,Pickaraville
Canada,AB,Athabasca,Radway
Canada,AB,Athabasca,Rochester
Canada,AB,Athabasca,Sangudo
Canada,AB,Athabasca,South Baptiste
Canada,AB,Athabasca,Sturgeon County
Canada,AB,Athabasca,Sunset Beach
Canada,AB,Athabasca,Thorhild
Canada,AB,Athabasca,Vimy
Canada,AB,Athabasca,Wandering River
Canada,AB,Athabasca,West Baptiste
Canada,AB,Athabasca,Westlock
Canada,AB,Athabasca,Whispering Hills
Canada,AB,Athabasca,White Gull
Canada,AB,Athabasca,Whitecourt
Canada,AB,Barrhead,
Canada,AB,Beaver,
Canada,AB,Big Lakes,Atikameg
Canada,AB,Big Lakes,Cadotte Lake
Canada,AB,Big Lakes,Chateh
Canada,AB,Big Lakes,Driftpile
Canada,AB,Big Lakes,Enilda
Canada,AB,Big Lakes,Fox Lake
Canada,AB,Big Lakes,Garden River
Canada,AB,Big Lakes,Gift Lake
Canada,AB,Big Lakes,Grouard
Canada,AB,Big Lakes,High Level
Canada,AB,Big Lakes,High Prairie
Canada,AB,Big Lakes,John D'or Prairie
Canada,AB,Big Lakes,Kinuso
Canada,AB,Big Lakes,Paddle Prairie
Canada,AB,Big Lakes,Rainbow Lake
Canada,AB,Big Lakes,Swan Hills
Canada,AB,Bighorn,
Canada,AB,Birch Hills,
Canada,AB,Bonnyville,
Canada,AB,Bonnyville,Glendon
Canada,AB,Bonnyville,Sputinow
Canada,AB,Brazeau,Breton
Canada,AB,Brookes,
Canada,AB,Calgary,
Canada,AB,Calgary,Chestermere
Canada,AB,Calgary,Crossfield
Canada,AB,Calgary,Eden Valley
Canada,AB,Calgary,High River
Canada,AB,Calgary,Langdon
Canada,AB,Calgary,Olds
Canada,AB,Calgary,Tsuu T'ina
Canada,AB,Camrose,
Canada,AB,Camrose,Lloydminster
Canada,AB,Camrose,Mannville
Canada,AB,Camrose,Minburn
Canada,AB,Camrose,New Norway
Canada,AB,Canmore,Banff
Canada,AB,Canmore,
Canada,AB,Canmore,Morley
Canada,AB,Cardston,
Canada,AB,Cardston,Magrath
Canada,AB,Clear Hills,Worsley
Canada,AB,Clearwater,Bowden
Canada,AB,Clearwater,Caroline
Canada,AB,Clearwater,Nordegg
Canada,AB,Cold Lake,
Canada,AB,Cold Lake,Elizabeth Metis Settlement
Canada,AB,Cypress,Onefour
Canada,AB,Cypress,Ralston
Canada,AB,Edmonton,Beaumont
Canada,AB,Edmonton,Devon
Canada,AB,Edmonton,Drayton Valley
Canada,AB,Edmonton,
Canada,AB,Edmonton,Enoch
Canada,AB,Edmonton,Ma-Me-O Beach
Canada,AB,Fairview,
Canada,AB,Flagstaff,Castor
Canada,AB,Flagstaff,Daysland
Canada,AB,Flagstaff,Killam
Canada,AB,Flagstaff,Sedgewick
Canada,AB,Flagstaff,Viking
Canada,AB,Foothills,Black Diamond
Canada,AB,Foothills,Okotoks
Canada,AB,Foothills,Priddis
Canada,AB,Foothills,Turner Valley
Canada,AB,Fort Mcleod,Brocket
Canada,AB,Fort Mcleod,Stand Off
Canada,AB,Fort Mcmurray,Chard
Canada,AB,Fort Mcmurray,
Canada,AB,Fort Saskatchewan,
Canada,AB,Forty Mile,Bow Island
Canada,AB,Grande Prairie,Beaverlodge
Canada,AB,Grande Prairie,Falher
Canada,AB,Grande Prairie,
Canada,AB,Grande Prairie,Hythe
Canada,AB,Grande Prairie,La Glace
Canada,AB,Grande Prairie,Peace River
Canada,AB,Greenview,Calais
Canada,AB,Greenview,Fox Creek
Canada,AB,Greenview,Grande Cache
Canada,AB,Greenview,Valleyview
Canada,AB,Jasper,
Canada,AB,Kneehill,Drumheller
Canada,AB,Kneehill,Elnora
Canada,AB,Kneehill,Oyen
Canada,AB,Kneehill,Three Hills
Canada,AB,Kneehill,Trochu
Canada,AB,Lac Ste. Anne,Glenevis
Canada,AB,Lac Ste. Anne,Mayerthorpe
Canada,AB,Lacombe,Alix
